id;link;pub_date;title;abstract;authors;pdf_link;category;comments;tags
2404.13679v1;http://arxiv.org/abs/2404.13679v1;2024-04-21;GScream: Learning 3D Geometry and Feature Consistent Gaussian Splatting  for Object Removal;"This paper tackles the intricate challenge of object removal to update the
radiance field using the 3D Gaussian Splatting. The main challenges of this
task lie in the preservation of geometric consistency and the maintenance of
texture coherence in the presence of the substantial discrete nature of
Gaussian primitives. We introduce a robust framework specifically designed to
overcome these obstacles. The key insight of our approach is the enhancement of
information exchange among visible and invisible areas, facilitating content
restoration in terms of both geometry and texture. Our methodology begins with
optimizing the positioning of Gaussian primitives to improve geometric
consistency across both removed and visible areas, guided by an online
registration process informed by monocular depth estimation. Following this, we
employ a novel feature propagation mechanism to bolster texture coherence,
leveraging a cross-attention design that bridges sampling Gaussians from both
uncertain and certain areas. This innovative approach significantly refines the
texture coherence within the final radiance field. Extensive experiments
validate that our method not only elevates the quality of novel view synthesis
for scenes undergoing object removal but also showcases notable efficiency
gains in training and rendering speeds.";Yuxin Wang<author:sep>Qianyi Wu<author:sep>Guofeng Zhang<author:sep>Dan Xu;http://arxiv.org/pdf/2404.13679v1;cs.CV;Project Page: https://w-ted.github.io/publications/gscream;gaussian splatting
2404.13437v1;http://arxiv.org/abs/2404.13437v1;2024-04-20;High-fidelity Endoscopic Image Synthesis by Utilizing Depth-guided  Neural Surfaces;"In surgical oncology, screening colonoscopy plays a pivotal role in providing
diagnostic assistance, such as biopsy, and facilitating surgical navigation,
particularly in polyp detection. Computer-assisted endoscopic surgery has
recently gained attention and amalgamated various 3D computer vision
techniques, including camera localization, depth estimation, surface
reconstruction, etc. Neural Radiance Fields (NeRFs) and Neural Implicit
Surfaces (NeuS) have emerged as promising methodologies for deriving accurate
3D surface models from sets of registered images, addressing the limitations of
existing colon reconstruction approaches stemming from constrained camera
movement.
  However, the inadequate tissue texture representation and confused scale
problem in monocular colonoscopic image reconstruction still impede the
progress of the final rendering results. In this paper, we introduce a novel
method for colon section reconstruction by leveraging NeuS applied to
endoscopic images, supplemented by a single frame of depth map. Notably, we
pioneered the exploration of utilizing only one frame depth map in
photorealistic reconstruction and neural rendering applications while this
single depth map can be easily obtainable from other monocular depth estimation
networks with an object scale. Through rigorous experimentation and validation
on phantom imagery, our approach demonstrates exceptional accuracy in
completely rendering colon sections, even capturing unseen portions of the
surface. This breakthrough opens avenues for achieving stable and consistently
scaled reconstructions, promising enhanced quality in cancer screening
procedures and treatment interventions.";Baoru Huang<author:sep>Yida Wang<author:sep>Anh Nguyen<author:sep>Daniel Elson<author:sep>Francisco Vasconcelos<author:sep>Danail Stoyanov;http://arxiv.org/pdf/2404.13437v1;cs.CV;;nerf
2404.13346v1;http://arxiv.org/abs/2404.13346v1;2024-04-20;EC-SLAM: Real-time Dense Neural RGB-D SLAM System with Effectively  Constrained Global Bundle Adjustment;"We introduce EC-SLAM, a real-time dense RGB-D simultaneous localization and
mapping (SLAM) system utilizing Neural Radiance Fields (NeRF). Although recent
NeRF-based SLAM systems have demonstrated encouraging outcomes, they have yet
to completely leverage NeRF's capability to constrain pose optimization. By
employing an effectively constrained global bundle adjustment (BA) strategy,
our system makes use of NeRF's implicit loop closure correction capability.
This improves the tracking accuracy by reinforcing the constraints on the
keyframes that are most pertinent to the optimized current frame. In addition,
by implementing a feature-based and uniform sampling strategy that minimizes
the number of ineffective constraint points for pose optimization, we mitigate
the effects of random sampling in NeRF. EC-SLAM utilizes sparse parametric
encodings and the truncated signed distance field (TSDF) to represent the map
in order to facilitate efficient fusion, resulting in reduced model parameters
and accelerated convergence velocity. A comprehensive evaluation conducted on
the Replica, ScanNet, and TUM datasets showcases cutting-edge performance,
including enhanced reconstruction accuracy resulting from precise pose
estimation, 21 Hz run time, and tracking precision improvements of up to 50\%.
The source code is available at https://github.com/Lightingooo/EC-SLAM.";Guanghao Li<author:sep>Qi Chen<author:sep>YuXiang Yan<author:sep>Jian Pu;http://arxiv.org/pdf/2404.13346v1;cs.RO;;nerf
2404.12970v1;http://arxiv.org/abs/2404.12970v1;2024-04-19;FlyNeRF: NeRF-Based Aerial Mapping for High-Quality 3D Scene  Reconstruction;"Current methods for 3D reconstruction and environmental mapping frequently
face challenges in achieving high precision, highlighting the need for
practical and effective solutions. In response to this issue, our study
introduces FlyNeRF, a system integrating Neural Radiance Fields (NeRF) with
drone-based data acquisition for high-quality 3D reconstruction. Utilizing
unmanned aerial vehicle (UAV) for capturing images and corresponding spatial
coordinates, the obtained data is subsequently used for the initial NeRF-based
3D reconstruction of the environment. Further evaluation of the reconstruction
render quality is accomplished by the image evaluation neural network developed
within the scope of our system. According to the results of the image
evaluation module, an autonomous algorithm determines the position for
additional image capture, thereby improving the reconstruction quality. The
neural network introduced for render quality assessment demonstrates an
accuracy of 97%. Furthermore, our adaptive methodology enhances the overall
reconstruction quality, resulting in an average improvement of 2.5 dB in Peak
Signal-to-Noise Ratio (PSNR) for the 10% quantile. The FlyNeRF demonstrates
promising results, offering advancements in such fields as environmental
monitoring, surveillance, and digital twins, where high-fidelity 3D
reconstructions are crucial.";Maria Dronova<author:sep>Vladislav Cheremnykh<author:sep>Alexey Kotcov<author:sep>Aleksey Fedoseev<author:sep>Dzmitry Tsetserukou;http://arxiv.org/pdf/2404.12970v1;cs.RO;;nerf
2404.12777v1;http://arxiv.org/abs/2404.12777v1;2024-04-19;EfficientGS: Streamlining Gaussian Splatting for Large-Scale  High-Resolution Scene Representation;"In the domain of 3D scene representation, 3D Gaussian Splatting (3DGS) has
emerged as a pivotal technology. However, its application to large-scale,
high-resolution scenes (exceeding 4k$\times$4k pixels) is hindered by the
excessive computational requirements for managing a large number of Gaussians.
Addressing this, we introduce 'EfficientGS', an advanced approach that
optimizes 3DGS for high-resolution, large-scale scenes. We analyze the
densification process in 3DGS and identify areas of Gaussian
over-proliferation. We propose a selective strategy, limiting Gaussian increase
to key primitives, thereby enhancing the representational efficiency.
Additionally, we develop a pruning mechanism to remove redundant Gaussians,
those that are merely auxiliary to adjacent ones. For further enhancement, we
integrate a sparse order increment for Spherical Harmonics (SH), designed to
alleviate storage constraints and reduce training overhead. Our empirical
evaluations, conducted on a range of datasets including extensive 4K+ aerial
images, demonstrate that 'EfficientGS' not only expedites training and
rendering times but also achieves this with a model size approximately tenfold
smaller than conventional 3DGS while maintaining high rendering fidelity.";Wenkai Liu<author:sep>Tao Guan<author:sep>Bin Zhu<author:sep>Lili Ju<author:sep>Zikai Song<author:sep>Dan Li<author:sep>Yuesong Wang<author:sep>Wei Yang;http://arxiv.org/pdf/2404.12777v1;cs.CV;;gaussian splatting
2404.12888v1;http://arxiv.org/abs/2404.12888v1;2024-04-19;Learn2Talk: 3D Talking Face Learns from 2D Talking Face;"Speech-driven facial animation methods usually contain two main classes, 3D
and 2D talking face, both of which attract considerable research attention in
recent years. However, to the best of our knowledge, the research on 3D talking
face does not go deeper as 2D talking face, in the aspect of
lip-synchronization (lip-sync) and speech perception. To mind the gap between
the two sub-fields, we propose a learning framework named Learn2Talk, which can
construct a better 3D talking face network by exploiting two expertise points
from the field of 2D talking face. Firstly, inspired by the audio-video sync
network, a 3D sync-lip expert model is devised for the pursuit of lip-sync
between audio and 3D facial motion. Secondly, a teacher model selected from 2D
talking face methods is used to guide the training of the audio-to-3D motions
regression network to yield more 3D vertex accuracy. Extensive experiments show
the advantages of the proposed framework in terms of lip-sync, vertex accuracy
and speech perception, compared with state-of-the-arts. Finally, we show two
applications of the proposed framework: audio-visual speech recognition and
speech-driven 3D Gaussian Splatting based avatar animation.";Yixiang Zhuang<author:sep>Baoping Cheng<author:sep>Yao Cheng<author:sep>Yuntao Jin<author:sep>Renshuai Liu<author:sep>Chengyang Li<author:sep>Xuan Cheng<author:sep>Jing Liao<author:sep>Juncong Lin;http://arxiv.org/pdf/2404.12888v1;cs.CV;;gaussian splatting
2404.12547v2;http://arxiv.org/abs/2404.12547v2;2024-04-18;Does Gaussian Splatting need SFM Initialization?;"3D Gaussian Splatting has recently been embraced as a versatile and effective
method for scene reconstruction and novel view synthesis, owing to its
high-quality results and compatibility with hardware rasterization. Despite its
advantages, Gaussian Splatting's reliance on high-quality point cloud
initialization by Structure-from-Motion (SFM) algorithms is a significant
limitation to be overcome. To this end, we investigate various initialization
strategies for Gaussian Splatting and delve into how volumetric reconstructions
from Neural Radiance Fields (NeRF) can be utilized to bypass the dependency on
SFM data. Our findings demonstrate that random initialization can perform much
better if carefully designed and that by employing a combination of improved
initialization strategies and structure distillation from low-cost NeRF models,
it is possible to achieve equivalent results, or at times even superior, to
those obtained from SFM initialization.";Yalda Foroutan<author:sep>Daniel Rebain<author:sep>Kwang Moo Yi<author:sep>Andrea Tagliasacchi;http://arxiv.org/pdf/2404.12547v2;cs.CV;14 pages, 6 figures;gaussian splatting<tag:sep>nerf
2404.12379v2;http://arxiv.org/abs/2404.12379v2;2024-04-18;Dynamic Gaussians Mesh: Consistent Mesh Reconstruction from Monocular  Videos;"Modern 3D engines and graphics pipelines require mesh as a memory-efficient
representation, which allows efficient rendering, geometry processing, texture
editing, and many other downstream operations. However, it is still highly
difficult to obtain high-quality mesh in terms of structure and detail from
monocular visual observations. The problem becomes even more challenging for
dynamic scenes and objects. To this end, we introduce Dynamic Gaussians Mesh
(DG-Mesh), a framework to reconstruct a high-fidelity and time-consistent mesh
given a single monocular video. Our work leverages the recent advancement in 3D
Gaussian Splatting to construct the mesh sequence with temporal consistency
from a video. Building on top of this representation, DG-Mesh recovers
high-quality meshes from the Gaussian points and can track the mesh vertices
over time, which enables applications such as texture editing on dynamic
objects. We introduce the Gaussian-Mesh Anchoring, which encourages evenly
distributed Gaussians, resulting better mesh reconstruction through mesh-guided
densification and pruning on the deformed Gaussians. By applying
cycle-consistent deformation between the canonical and the deformed space, we
can project the anchored Gaussian back to the canonical space and optimize
Gaussians across all time frames. During the evaluation on different datasets,
DG-Mesh provides significantly better mesh reconstruction and rendering than
baselines. Project page: https://www.liuisabella.com/DG-Mesh/";Isabella Liu<author:sep>Hao Su<author:sep>Xiaolong Wang;http://arxiv.org/pdf/2404.12379v2;cs.CV;Project page: https://www.liuisabella.com/DG-Mesh/;gaussian splatting
2404.12385v1;http://arxiv.org/abs/2404.12385v1;2024-04-18;MeshLRM: Large Reconstruction Model for High-Quality Mesh;"We propose MeshLRM, a novel LRM-based approach that can reconstruct a
high-quality mesh from merely four input images in less than one second.
Different from previous large reconstruction models (LRMs) that focus on
NeRF-based reconstruction, MeshLRM incorporates differentiable mesh extraction
and rendering within the LRM framework. This allows for end-to-end mesh
reconstruction by fine-tuning a pre-trained NeRF LRM with mesh rendering.
Moreover, we improve the LRM architecture by simplifying several complex
designs in previous LRMs. MeshLRM's NeRF initialization is sequentially trained
with low- and high-resolution images; this new LRM training strategy enables
significantly faster convergence and thereby leads to better quality with less
compute. Our approach achieves state-of-the-art mesh reconstruction from
sparse-view inputs and also allows for many downstream applications, including
text-to-3D and single-image-to-3D generation. Project page:
https://sarahweiii.github.io/meshlrm/";Xinyue Wei<author:sep>Kai Zhang<author:sep>Sai Bi<author:sep>Hao Tan<author:sep>Fujun Luan<author:sep>Valentin Deschaintre<author:sep>Kalyan Sunkavalli<author:sep>Hao Su<author:sep>Zexiang Xu;http://arxiv.org/pdf/2404.12385v1;cs.CV;;nerf
2404.11897v1;http://arxiv.org/abs/2404.11897v1;2024-04-18;AG-NeRF: Attention-guided Neural Radiance Fields for Multi-height  Large-scale Outdoor Scene Rendering;"Existing neural radiance fields (NeRF)-based novel view synthesis methods for
large-scale outdoor scenes are mainly built on a single altitude. Moreover,
they often require a priori camera shooting height and scene scope, leading to
inefficient and impractical applications when camera altitude changes. In this
work, we propose an end-to-end framework, termed AG-NeRF, and seek to reduce
the training cost of building good reconstructions by synthesizing
free-viewpoint images based on varying altitudes of scenes. Specifically, to
tackle the detail variation problem from low altitude (drone-level) to high
altitude (satellite-level), a source image selection method and an
attention-based feature fusion approach are developed to extract and fuse the
most relevant features of target view from multi-height images for
high-fidelity rendering. Extensive experiments demonstrate that AG-NeRF
achieves SOTA performance on 56 Leonard and Transamerica benchmarks and only
requires a half hour of training time to reach the competitive PSNR as compared
to the latest BungeeNeRF.";Jingfeng Guo<author:sep>Xiaohan Zhang<author:sep>Baozhu Zhao<author:sep>Qi Liu;http://arxiv.org/pdf/2404.11897v1;cs.CV;;nerf
2404.11852v1;http://arxiv.org/abs/2404.11852v1;2024-04-18;Cicero: Addressing Algorithmic and Architectural Bottlenecks in Neural  Rendering by Radiance Warping and Memory Optimizations;"Neural Radiance Field (NeRF) is widely seen as an alternative to traditional
physically-based rendering. However, NeRF has not yet seen its adoption in
resource-limited mobile systems such as Virtual and Augmented Reality (VR/AR),
because it is simply extremely slow. On a mobile Volta GPU, even the
state-of-the-art NeRF models generally execute only at 0.8 FPS. We show that
the main performance bottlenecks are both algorithmic and architectural. We
introduce, CICERO, to tame both forms of inefficiencies. We first introduce two
algorithms, one fundamentally reduces the amount of work any NeRF model has to
execute, and the other eliminates irregular DRAM accesses. We then describe an
on-chip data layout strategy that eliminates SRAM bank conflicts. A pure
software implementation of CICERO offers an 8.0x speed-up and 7.9x energy
saving over a mobile Volta GPU. When compared to a baseline with a dedicated
DNN accelerator, our speed-up and energy reduction increase to 28.2x and 37.8x,
respectively - all with minimal quality loss (less than 1.0 dB peak
signal-to-noise ratio reduction).";Yu Feng<author:sep>Zihan Liu<author:sep>Jingwen Leng<author:sep>Minyi Guo<author:sep>Yuhao Zhu;http://arxiv.org/pdf/2404.11852v1;cs.AR;;nerf
2404.11285v1;http://arxiv.org/abs/2404.11285v1;2024-04-17;Novel View Synthesis for Cinematic Anatomy on Mobile and Immersive  Displays;"Interactive photorealistic visualization of 3D anatomy (i.e., Cinematic
Anatomy) is used in medical education to explain the structure of the human
body. It is currently restricted to frontal teaching scenarios, where the
demonstrator needs a powerful GPU and high-speed access to a large storage
device where the dataset is hosted. We demonstrate the use of novel view
synthesis via compressed 3D Gaussian splatting to overcome this restriction and
to enable students to perform cinematic anatomy on lightweight mobile devices
and in virtual reality environments. We present an automatic approach for
finding a set of images that captures all potentially seen structures in the
data. By mixing closeup views with images from a distance, the splat
representation can recover structures up to the voxel resolution. The use of
Mip-Splatting enables smooth transitions when the focal length is increased.
Even for GB datasets, the final renderable representation can usually be
compressed to less than 70 MB, enabling interactive rendering on low-end
devices using rasterization.";Simon Niedermayr<author:sep>Christoph Neuhauser<author:sep>Kaloian Petkov<author:sep>Klaus Engel<author:sep>Rüdiger Westermann;http://arxiv.org/pdf/2404.11285v1;cs.GR;;gaussian splatting
